folder,icaos_in_name
fs20-microsoft-landingchallenge-mtca-cayes-fs24,AYES|HALL|MTCA
fs20-microsoft-landingchallenge-myeh-eleuther-fs24,HALL|MYEH
fs20-microsoft-landingchallenge-nffn-nadi,NFFN|HALL
fs20-microsoft-landingchallenge-nzch-christchurch,NZCH|HALL
fs20-microsoft-landingchallenge-nzqe-griver-fs24,HALL
fs20-microsoft-landingchallenge-nzrc-bluff,HALL|NZRC
fs20-microsoft-landingchallenge-nzwn-wellington,HALL|NZWN|NGTO
fs20-microsoft-landingchallenge-p16-palmyra,HALL
fs20-microsoft-landingchallenge-ybbn-brisbane-fs24,HALL|SBAN|YBBN
fs20-microsoft-landingchallenge-yhot-mthotham-fs24,HALL|YHOT
fs20-microsoft-landingchallenge-ykat-katoomba-fs24,YKAT|HALL
fs20-microsoft-landingchallenge-ymaa-mabuiag-fs24,YMAA|HALL|UIAG
fs20-microsoft-landingchallenge-yshl-shellharbour-fs24,HALL|YSHL|LLHA
fs20-microsoft-modellib-airport-glider,LLIB|LIDE
fs20-microsoft-scenery-lasvegas,SVEG
fs20-microsoft-scenery-oilrig-worldwide,WIDE
fs20-microsoft-simobjects-vehicles,SIMO
fs20-microsoft-unitedstates-point-of-interest,EDST|UNIT
fs20-mkstudios-airport-lirf-rome,LIRF
fs20-orbx-airport-lfkb-bastia,LFKB
fs20-pilotplus-airport-eggd-bristolinternational,EGGD
fs20-uk2000scenery-airport-commonlibrary,LIBR
fs20-uk2000scenery-airport-eggw-luton,EGGW
fs24-asobo-aircraft-flightdesignct,SIGN
fs24-asobo-aircraft-flydoo,YDOO
fs24-asobo-aircraft-savage-cub,SAVA
fs24-asobo-aircraft-savage-shockultra-livery-kenmore,SAVA
fs24-asobo-airport-biis-isafjordur,BIIS
fs24-asobo-airport-cytz-billy-bishop,BISH|CYTZ
fs24-asobo-airport-czst-stewart-aerodrome,WART|CZST
fs24-asobo-airport-eg78-outskerries,KERR|UTSK
fs24-asobo-airport-eidl-donegal,EIDL
fs24-asobo-airport-huen-entebbe,EBBE|HUEN
fs24-asobo-airport-kase-aspen,KASE|SPEN
fs24-asobo-airport-kcof-patrickafb,KCOF
fs24-asobo-airport-kdfw-dallas-fort-worth,KDFW
fs24-asobo-airport-keb-nanwalek,WALE
fs24-asobo-airport-kjfk-new-york-jfk,KJFK
fs24-asobo-airport-klax-losangeles,KLAX
fs24-asobo-airport-kmco-orlando,KMCO
fs24-asobo-airport-knfl-nas-fallon,KNFL|FALL
fs24-asobo-airport-knkx-miramar-mcas,KNKX
fs24-asobo-airport-ksea-seattle-tacoma,KSEA
fs24-asobo-airport-ksez-sedona,EDON|KSEZ|SEDO
fs24-asobo-airport-kswf-stewartintl,WART|KSWF
fs24-asobo-airport-ktex-telluride,KTEX
fs24-asobo-airport-kxmr-cap-canaveral,KXMR
fs24-asobo-airport-lebb-bilbao,LEBB
fs24-asobo-airport-lflj-courchevel,LFLJ
fs24-asobo-airport-lfpg-paris-charles-de-gaulle,LFPG
fs24-asobo-airport-lowi-innsbruck,LOWI
fs24-asobo-airport-lpma-madeira,LPMA
fs24-asobo-airport-lxgb-gibraltar,LXGB|LTAR
fs24-asobo-airport-mhtg-toncontin,MHTG
fs24-asobo-airport-mrsn-sirena-station,MRSN
fs24-asobo-airport-nzqn-queenstown,NZQN|ENST
fs24-asobo-airport-rjtt-tokyo-haneda,RJTT
fs24-asobo-airport-rjx8-suwanosejima,SEJI
fs24-asobo-airport-rokr-kerama,ROKR
fs24-asobo-airport-rors-shimojishima,RORS
fs24-asobo-airport-sbgl-riodejaneiro,SBGL
fs24-asobo-airport-seqm-mariscal-sucre-quito,SCAL|SEQM
fs24-asobo-airport-spgl-chagual,SPGL
fs24-asobo-airport-tffj-gustaf,TFFJ
fs24-asobo-airport-tncs-saba,TNCS
fs24-asobo-airport-vnlk-lukla,VNLK
fs24-asobo-airport-vqpr-paro,VQPR
fs24-asobo-airport-yssy-sydney,YSSY
fs24-asobo-challenges-lowalt-s1-alps,HALL|WALT
fs24-asobo-challenges-lowalt-s1-blueridgemountains,HALL|WALT
fs24-asobo-challenges-lowalt-s1-blueridgemountains-a10,HALL|WALT
fs24-asobo-challenges-lowalt-s1-grandcanyon,HALL|WALT
fs24-asobo-challenges-lowalt-s1-pyrenees,HALL|YREN|WALT
fs24-asobo-challenges-lowalt-s1-riffelake,HALL|WALT
fs24-asobo-challenges-lowalt-s1-selenice,HALL|WALT
fs24-asobo-challenges-lowalt-s1-sidewinderab,HALL|WALT
fs24-asobo-challenges-lowalt-s1-toiyabecanyon,HALL|WALT
fs24-asobo-challenges-lowalt-s1-yanertglacier,HALL|WALT
fs24-asobo-challenges-lowalt-s2-corsica,HALL|WALT
fs24-asobo-challenges-lowalt-s2-urubici,HALL|WALT
fs24-asobo-challenges-precisionlanding-s1-belayim,HALL|AYIM
fs24-asobo-challenges-precisionlanding-s1-courchevel-lflj,HALL|LFLJ
fs24-asobo-challenges-precisionlanding-s1-donamarta-smdh,HALL
fs24-asobo-challenges-precisionlanding-s1-islaholbox,HALL
fs24-asobo-challenges-precisionlanding-s1-lukla-vnlk,VNLK|HALL
fs24-asobo-challenges-precisionlanding-s1-orlando-kmco,HALL|KMCO
fs24-asobo-challenges-precisionlanding-s1-saba-tncs,HALL|TNCS
fs24-asobo-challenges-precisionlanding-s1-savannafuue,HALL|SAVA
fs24-asobo-challenges-precisionlanding-s1-theneedles-eglt,HALL|EDLE
fs24-asobo-challenges-precisionlanding-s1-thridrangaviti,HALL
fs24-asobo-challenges-precisionlanding-s2-indianarm,HALL
fs24-asobo-challenges-precisionlanding-s2-langkampfen-loik,HALL|LOIK|MPFE
fs24-asobo-challenges-precisionlanding-s2-saopaulo-sbgr,HALL|SBGR
fs24-asobo-challenges-rallyrace-s1-gaube-xcub,HALL
fs24-asobo-challenges-rallyrace-s1-glacier,HALL
fs24-asobo-challenges-rallyrace-s1-glacier-l39,HALL
fs24-asobo-challenges-rallyrace-s1-grandcanyon,HALL
fs24-asobo-challenges-rallyrace-s1-machloop,HALL
fs24-asobo-challenges-rallyrace-s1-malaga,HALL
fs24-asobo-challenges-rallyrace-s1-malaga-at802,HALL
fs24-asobo-challenges-rallyrace-s1-queenstown,HALL|ENST
fs24-asobo-challenges-rallyrace-s1-queenstown-at802,HALL|ENST
fs24-asobo-challenges-rallyrace-s2-riodejaneiro,HALL
fs24-asobo-discovery-copenhagen,SCOV|ENHA
fs24-asobo-discovery-ecrins,SCOV
fs24-asobo-discovery-everest,SCOV
fs24-asobo-discovery-flakstad,SCOV
fs24-asobo-discovery-fortwilliams,WILL|SCOV
fs24-asobo-discovery-fuji,SCOV
fs24-asobo-discovery-giza,SCOV
fs24-asobo-discovery-leewardislands,SLAN|SCOV
fs24-asobo-discovery-london,SCOV
fs24-asobo-discovery-naples,SCOV
fs24-asobo-discovery-newyork,SCOV
fs24-asobo-discovery-paris,SCOV
fs24-asobo-discovery-riodejaneiro,SCOV
fs24-asobo-discovery-sanfrancisco,SCOV
